BreedName;Group1;Group2;Price;Weight(Kg);Watchdog;Popularity;Temperament
Belgian Shepherd Dog Sheepdog;Herding;Herding;1300;32;6;120;Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent
Belgian Shepherd Laekenois;Herding;Herding;650;28;5;;Active, Alert, Energetic, Lively, Protective, Watchful
Belgian Shepherd Malinois;Herding;Herding;700;27;6;44;Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful
Belgian Shepherd Tervuren;Herding;Herding;1350;34;6;103;Alert, Attentive, Energetic, Intelligent, Loyal, Protective
Bernese Mountain Dog;Working;Guardian;900;44;5;25;Affectionate, Faithful, Intelligent, Loyal
Bichon Frise;Non Sporting;Companion;850;4;3;46;Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive
Black and Tan Coonhound;Hound;Scenthound;350;55;3;130;Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent
Black Labrador Retriever;Sporting;Gun;1500;32;3;1;Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social
Black Mouth Cur;Hound;Scenthound;400;32;3;;Active, Fearless, Kind, Loyal, Protective, Trainable
Black Russian Terrier;Working;Guardian;2150;51;6;116;Brave, Confident, Energetic, Hardy, Lively, Stable
Bloodhound;Hound;Scenthound;1000;46;1;50;Affectionate, Even-tempered, Gentle, Stubborn, Independent
Blue Lacy;Sporting;Gun;700;18;4;;Active, Alert, Bold, Devoted, Intelligent, Intense
Bluetick Coonhound;Hound;Scenthound;550;28;1;132;Friendly, Active, Gentle
Boerboel;Working;Guardian;1750;80;6;124;Confident, Dominant, Intelligent, Obedient, Territorial
Bolognese;Working;Companion;1350;3;2;;Docile, Enterprising, Loyal, Reserved, Serious
Border Collie;Herding;Herding;700;17;6;38;Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective
Border Terrier;Terrier;Terrier;1300;7;4;92;Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient
Borzoi;Hound;Sight;1100;41;1;102;Athletic, Gentle, Independent, Intelligent, Quiet, Respectful
Boston Terrier;Non Sporting;Companion;750;9;3;21;Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful
Bouvier des Flanders;Herding;Herding;1750;42;5;85;Familial, Gentle, Intelligent, Loyal, Protective, Rational
Boxer;Working;Guardian;900;30;5;11;Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful
Boykin Spaniel;Sporting;Gun;900;15;3;98;Companionable, Eager, Energetic, Friendly, Intelligent, Trainable
Briard;Herding;Gun;1100;35;6;127;Faithful, Fearless, Intelligent, Loyal, Obedient, Protective
Brittany Spaniel;Sporting;Gun;750;17;3;26;Alert, Independent, Intelligent, Responsive, Social
Brussels Griffon;Toy;Companion;900;4;3;94;Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful
Bull Terrier;Terrier;Terrier;1350;28;6;60;Active, Keen, Protective, Sweet-tempered, Trainable
Bullmastiff;Working;Guardian;1350;55;6;51;Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable
Cairn Terrier;Terrier;Terrier;850;7;4;69;Active, Assertive, Courageous, Fearless, Hardy, Intelligent
Canaan Dog;Herding;Sight;1000;21;3;175;Alert, Cautious, Devoted, Quick, Vigilant
Cane Corso Mastiff;Working;Guardian;1750;47;6;37;Cheerful, Courageous, Loyal, Quiet, Social
Carolina Dog;;Sight;900;18;3;;Adaptable, Gentle, Loyal, Primitive, Reserved
Catahoula Leopard Dog;Herding;Herding;400;27;6;;Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective
Cattle Dog;Herding;Herding;600;21;6;56;Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive
Caucasian Sheepdog (Caucasian Ovtcharka);Working;Guardian;1750;63;6;;Alert, Calm, Dominant, Powerful, Quick,Strong
Cavalier King Charles Spaniel;Toy;Companion;1350;7;2;19;Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social
Chesapeake Bay Retriever;Sporting;Gun;800;33;3;43;Happy, Affectionate, Dominant, Intelligent, Protective, Quiet
Chihuahua;Toy;Companion;700;2;2;32;Alert, Courageous, Devoted, Lively, Intelligent, Quick
Chinese Crested Dog;Toy;Companion;900;4;2;79;Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered
Chinese Foo Dog;Working;Northern;2000;25;5;;Friendly, Devoted, Courageous
Chinook;Working;Northern;900;32;4;179;Alert, Calm, Dignified, Friendly, Responsive
Chocolate Labrador Retriever;Sporting;Gun;1500;32;3;1;Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social
Chow Chow;Non Sporting;Northern;700;26;3;76;Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached
Cirneco dell'Etna;Hound;Sight;900;11;3;184;Affectionate, Gentle, Lively
Clumber Spaniel;Sporting;Gun;1000;32;3;140;Gentle, Loyal, Affectionate, Dignified, Aloof
Cockapoo;Sporting;Gun;1000;8;3;;Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social
Cocker Spaniel;Sporting;Gun;700;10;3;29;Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting
Collie;Herding;Herding;500;31;5;40;Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social
Coonhound;Hound;Scenthound;350;55;3;130;Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent
Corgi;Herding;Herding;1100;13;4;68;Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent
Coton de Tulear;Non Sporting;Companion;2700;6;3;81;Affectionate, Intelligent, Lively, Playful, Trainable, Vocal
Curly-Coated Retriever;Sporting;Gun;700;34;3;171;Clever, Independent, Intelligent, Lively, Sensitive, Trainable
Dachshund;Hound;Scenthound;600;7;3;13;Clever, Courageous, Devoted, Lively, Playful, Stubborn
Dalmatian;Non Sporting;Companion;800;25;3;63;Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive
Dandi Dinmont Terrier;Terrier;Terrier;1500;10;3;182;Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent
Dhole;;;;18;;;Wild
Dingo;;;;16;;;Wild
Doberman Pinscher;Working;Guardian;900;43;6;16;Alert, Energetic, Fearless, Intelligent, Loyal, Obedient
Dogo Argentino;Working;Guardian;39000;43;5;;Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social
Dogue de Bordeaux;Working;Guardian;1150;60;6;67;Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant
Dutch Shepherd;Herding;Herding;1100;28;5;;Affectionate, Alert, Loyal, Obedient, Reliable, Trainable
English Bulldog;Non Sporting;Companion;1600;25;3;5;Aggressive, Courageous, Friendly, Loving, Social, Sweet
English Cocker Spaniel;Sporting;Gun;1050;14;4;52;Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable
English Coonhound;Hound;Scenthound;1100;26;4;178;Active, Energetic, High-strung, Loyal
English Pointer;Sporting;Gun;450;25;4;113;Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent
English Setter;Sporting;Gun;500;30;3;95;Strong-willed, Mischevious, Gentle, Energetic, Intelligent
English Shepherd;Herding;Herding;900;25;4;;Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe
English Springer Spaniel;Sporting;Gun;750;23;3;27;Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social
English Toy Spaniel;Toy;Companion;1400;5;3;134;Affectionate, Gentle, Happy, Loving, Playful, Reserved
Entlebucher;Herding;Guardian;;27;6;152;Agile, Devoted, Independent, Loyal, Self-confident
Eskimo Dog;Non Sporting;Northern;700;8;4;118;Alert, Energetic, Friendly, Independent, Intelligent, Protective
Feist;Terrier;Terrier;350;15;4;;Agile, Alert, Lovable, Spirited, Swift
Field Spaniel;Sporting;Gun;900;19;3;145;Adaptable, Cautious, Docile, Familial, Sensitive, Sociable
Fila Brasileiro;Working;Guardian;1150;46;5;;Brave, Courageous, Determined, Docile, Loyal, Obedient
Finnish Lapphund;Herding;Northern;700;18;5;173;Calm, Courageous, Faithful, Friendly, Keen
Finnish Spitz;Non Sporting;Northern;600;15;3;177;Happy, Independent, Intelligent, Loyal, Playful, Vocal
Flat-coated Retriever;Sporting;Gun;1100;30;5;96;Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent
Fox Terrier;Terrier;Terrier;850;8;3;122;Active, Affectionate, Alert, Fearless, Intelligent, Playful
Foxhound;Hound;Scenthound;500;32;2;187;Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered
French Bulldog;Non Sporting;Companion;3000;12;3;4;Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient
Galgo Spanish Greyhound;Hound;Sight;700;25;3;;Affectionate, Calm, Quiet, Gentle
German Pinscher;Working;Terrier;1500;14;6;136;Even-tempered, Familial, Courageous, Lively, Loving, Spirited
German Shepherd Dog;Herding;Herding;1400;35;6;2;Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful
German Shorthaired Pointer;Working;Gun;700;29;3;10;Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable
German Spitz;Non Sporting;Northern;700;8;4;118;Alert, Energetic, Friendly, Independent, Intelligent, Protective
German Wirehaired Pointer;Sporting;Gun;800;30;6;62;Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive
Giant Schnauzer;Working;Companion;1250;38;6;80;Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed
Glen of Imaal Terrier;Terrier;Terrier;900;16;3;158;Active, Agile, Courageous, Gentle, Loyal, Spirited
Golden Retriever;Sporting;Gun;1500;32;3;3;Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy
Gordon Setter;Sporting;Gun;900;31;4;104;Alert, Confident, Eager, Fearless, Loyal, Intelligent
Great Dane;Working;Guardian;1000;77;5;14;Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved
Great Pyrenees;Working;Guardian;800;45;6;66;Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed
Greater Swiss Mountain Dog;Working;Guardian;2250;60;5;75;Alert, Devoted, Fearless, Good-natured, Protective, Self-confident
Greyhound;Hound;Sight;650;33;3;156;Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet
Harrier;Hound;Scenthound;350;22;2;183;Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant
Havanese;Toy;Companion;1050;5;3;23;Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive
Hound;Hound;Scenthound;500;32;2;187;Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered
Hovawart;Working;Guardian;1100;38;6;;Watchful, Even-tempered, Reserved, Active, Devoted
Husky;Working;Northern;950;24;1;12;Alert, Friendly, Gentle, Intelligent, Outgoing
Ibizan Hound;Hound;Sight;1000;22;3;165;Active, Clownish, Engaging, Independent, Intelligent, Stubborn
Illyrian Sheepdog;Herding;Herding;1500;40;6;;Independent, Reliable, Devoted, Protective
Irish Setter;Sporting;Gun;900;32;3;72;Affectionate, Companionable, Energetic, Independent, Lively, Playful, Intelligent
Irish Terrier;Terrier;Terrier;700;12;5;114;Dominant, Intelligent, Lively, Protective, Respectful, Trainable
Irish Water Spaniel;Sporting;Gun;900;25;4;164;Active, Alert, Clownish, Inquisitive, Intelligent, Quick
Irish Wolfhound;Hound;Scenthound;1900;55;3;73;Dignified, Generous, Loyal, Patient, Sweet-tempered, Thoughtful, Intelligent
Italian Greyhound;Toy;Companion;900;4;3;74;Affectionate, Agile, Athletic, Companionable, Intelligent, Mischevious
Italian Spinone;Sporting;Gun;1750;33;3;111;Friendly, Loyal, Affectionate, Docile, Gentle, Patient
Jack Russell Terrier;Terrier;Terrier;850;7;4;78;Alert, Cheerful, Courageous, Energetic, Independent
Jack Russell Terrier (Parson Russell Terrier);Terrier;Terrier;500;7;3;119;Energetic, Bold, Eager, Happy, Intelligent, Obedient
Japanese Chin;Toy;Companion;400;5;3;108;Alert, Cat-like, Independent, Intelligent, Loving, Loyal, Playful
Jindo;Sporting;Northern;350;20;4;;Active, Bold, Brave, Faithful, Intelligent, Loyal
Kai Dog;Non Sporting;Northern;3000;18;5;;Intelligent, Agile, Alert, Brave
Karelian Bear Dog;Sporting;Northern;1100;22;4;;Brave, Cautious, Loyal, Independent, Tenacious, Territorial
Keeshond;Non Sporting;Northern;900;18;4;87;Agile, Bright, Obedient, Playful, Quick, Sturdy, Intelligent
Kerry Blue Terrier;Terrier;Terrier;550;17;5;129;Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent
Kishu;Sporting;Northern;400;20;4;;Alert, Dignified, Docile, Faithful, Noble
Klee Kai;Non Sporting;Northern;1250;7;5;;Active, Agile, Curious, Intelligent, Loyal, Quick, Territorial
Komondor;Working;Guardian;1000;59;6;163;Affectionate, Calm, Fearless, Gentle, Independent, Steady
Kuvasz;Working;Guardian;1350;49;6;157;Clownish, Independent, Intelligent, Loyal, Patient, Protective
Kyi Leo;Non Sporting;Companion;700;5;3;;Active, Calm, Forgiving, Obedient, Playful, Quiet
Labrador Retriever;Sporting;Gun;1500;32;3;1;Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social
Lakeland Terrier;Terrier;Terrier;1500;8;3;138;Independent, Bold, Confident, Friendly, Intelligent, Trainable
Lancashire Heeler;Herding;Herding;700;5;3;;Alert, Clever, Friendly, Intelligent
Leonberger;Working;Guardian;1750;64;5;100;Adaptable, Companionable, Fearless, Loving, Loyal, Obedient
Lhasa Apso;Non Sporting;Companion;600;6;3;77;Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady
Lowchen;Non Sporting;Companion;400;6;3;169;Active, Familial, Friendly, Happy, Playful
Maltese;Toy;Companion;700;4;3;33;Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet-tempered
Manchester Terrier;Terrier;Terrier;800;6;3;135;Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent
Maremma Sheepdog;Working;Guardian;700;38;4;;Alert, Determined, Dignified, Friendly, Intelligent, Loyal
Mastiff;Working;Guardian;1350;90;6;28;Affectionate, Alert, Cheerful, Courageous, Intelligent, Loyal, Protective
McNab;Herding;Herding;400;23;3;;Friendly, Hard-working, Obedient, Protective, Sociable, Well-mannered
Miniature Pinscher;Toy;Companion;500;5;3;71;Clever, Energetic, Friendly, Outgoing, Playful, Responsive, Intelligent
Mountain Cur;Working;Scenthound;400;20;6;;Intelligent, Protective
Mountain Dog;Working;Guardian;900;44;5;25;Affectionate, Faithful, Intelligent, Loyal
Munsterlander;Sporting;Gun;1500;20;3;;Intelligent, Trainable, Attentive, Mischevious
Neapolitan Mastiff;Working;Guardian;1750;60;6;107;Protective, Dominant, Fearless, Obedient, Stubborn, Trainable
Newfoundland Dog;Working;Guardian;1750;65;5;36;Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle
Norfolk Terrier;Terrier;Terrier;2250;5;3;128;Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent
Norwegian Buhund;Herding;Northern;900;16;4;170;Agile, Courageous, Energetic, Friendly, Fun-loving
Norwegian Elkhound;Hound;Northern;600;26;6;91;Alert, Bold, Hardy, Loyal, Playful, Strong-willed, Intelligent
Norwegian Lundehund;Non Sporting;Northern;500;8;4;190;Alert, Energetic, Loyal, Protective
Norwich Terrier;Terrier;Terrier;1700;5;3;105;Affectionate, Energetic, Hardy, Intelligent, Sensitive
Nova Scotia Duck-Tolling Retriever;Sporting;Gun;1900;20;5;89;Affectionate, Alert, Courageous, Energetic, Gentle, Playful, Responsive
Old English Sheepdog;Herding;Herding;1350;39;4;70;Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective
Otterhound;Hound;Scenthound;550;41;2;186;Amiable, Boisterous, Even-tempered
Papillon;Toy;Companion;500;5;3;53;Alert, Energetic, Friendly, Happy, Hardy, Intelligent
Patterdale Terrier (Fell Terrier);Terrier;Terrier;600;6;3;;Bold, Confident, Energetic, Friendly, Inquisitive, Intelligent
Pekingese;Toy;Companion;700;4;3;88;Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn
Peruvian Inca Orchid;Hound;Sight;500;10;4;;Affectionate, Alert, Intelligent, Lively, Noble, Protective
Petit Basset Griffon Vendeen;Hound;Scenthound;1400;16;3;160;Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent
Pharaoh Hound;Hound;Sight;1900;23;2;174;Active, Affectionate, Intelligent, Playful, Sociable, Trainable
Pit Bull Terrier;Terrier;Terrier;600;23;3;;Affectionate, Aggressive, Clownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong-willed, Stubborn
Plott Hound;Hound;Scenthound;400;26;3;166;Alert, Bold, Courageous, Loyal
Podengo Portugueso;Hound;Sight;900;5;3;159;Active, Companionable, Friendly, Hardy, Lively, Loyal
Pointer;Sporting;Gun;450;25;4;113;Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent
Polish Lowland Sheepdog;Herding;Herding;1750;19;6;176;Agile, Even-tempered, Lively, Perceptive, Self-confident
Pomeranian;Toy;Companion;700;2;3;22;Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable
Poodle;Non Sporting;Gun;1250;26;4;7;Active, Alert, Faithful, Instinctual, Intelligent, Trainable
Standard Poodle;Non Sporting;Gun;1250;26;4;7;Active, Alert, Faithful, Instinctual, Intelligent, Trainable
Miniature Poodle;Toy;Companion;1250;8;4;;Active, Alert, Faithful, Instinctual, Intelligent, Trainable
Toy Poodle;Toy;Companion;1250;4;4;;Active, Alert, Faithful, Instinctual, Intelligent, Trainable
Portuguese Water Dog;Working;Gun;2650;22;4;54;Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome
Presa Canario;Working;Guardian;2100;40;6;;Calm, Dominant, Gentle, Strong-willed, Suspicious
Pug;Toy;Companion;400;8;3;31;Affectionate, Cheerful, Courageous, Gentle, Intelligent, Friendly, Outgoing, Playful, Loyal
Puli;Herding;Herding;1100;14;5;142;Agile, Energetic, Faithful, Intelligent, Loyal, Obedient
Pumi;Herding;Herding;2750;13;3;162;Active, Intelligent, Lively, Protective, Reserved, Vocal
Rat Terrier;Terrier;Terrier;400;11;3;97;Affectioante, Alert, Inquisitive, Lively, Loving
Redbone Coonhound;Hound;Scenthound;700;28;1;139;Affectionate, Companionable, Energetic, Familial, Independent, Unflappable
Retriever;Sporting;Gun;1500;32;3;3;Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy
Rhodesian Ridgeback;Hound;Sight;1150;39;3;41;Dignified, Intelligent, Loyal, Mischevious, Sensitive, Strong-willed
Rottweiler;Working;Guardian;1600;51;6;8;Alert, Courageous, Fearless, Good-natured, Independent, Intelligent, Loyal, Protective
Saint Bernard;Working;Guardian;1650;66;3;48;Friendly, Gentle, Independent, Intelligent, Outgoing, Quiet, Social
Saluki;Hound;Sight;700;21;3;123;Aloof, Intelligent, Quiet, Reserverd, Loyal
Samoyed;Working;Northern;1350;26;4;57;Alert, Lively, Friendly, Intelligent, Playful, Sociable, Stubborn
Sarplaninac;Working;Guardian;900;33;5;;Independent, Calm, Devoted, Intelligent, Protective, Reliable
Schipperke;Non Sporting;Companion;800;7;3;110;Agile, Confident, Curious, Faithful, Fearless, Independent, Intelligent
Miniature Schnauzer;Terrier;Companion;800;8;;18;Devoted, Good-natured, Intelligent, Lively, Playful, Trainable
Schnauzer;Working;Herding;1350;17;4;90;Devoted, Good-natured, Intelligent, Lively, Playful, Trainable
Scottish Deerhound;Hound;Sight;1100;42;1;168;Dignified, Docile, Friendly, Gentle, Polite, Quiet
Scottish Terrier Scottie;Terrier;Terrier;900;9;3;58;Independent, Fiesty, Alert, Playful, Quick, Self-assured
Sealyham Terrier;Terrier;Terrier;900;9;3;150;Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent
Setter;Sporting;Gun;500;30;3;95;Strong-willed, Mischevious, Gentle, Energetic, Intelligent
Shar Pei;Non Sporting;Northern;1100;22;3;64;Affectionate, Devoted, Independent, Loving, Reserved, Suspicious
Sheep Dog;Herding;Herding;1350;39;4;70;Adaptable, Bubbly, Intelligent, Loving, Playful, Sociable, Protective
Shepherd;Herding;Herding;1400;35;6;2;Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful
Shetland Sheepdog Sheltie;Herding;Herding;900;9;4;24;Affectionate, Friendly, Gentle, Intelligent, Lively, Playful, Responsive
Shiba Inu;Non Sporting;Companion;900;10;4;45;Alert, Charming, Confident, Faithful, Fearless, Keen, Outgoing
Shih Tzu;Toy;Companion;1000;6;3;20;Active, Courageous, Friendly, Gentle, Happy, Intelligent, Lively, Outgoing, Playful
Siberian Husky;Working;Northern;950;24;1;12;Alert, Friendly, Gentle, Intelligent, Outgoing
Silky Terrier;Toy;Terrier;700;5;3;106;Alert, Friendly, Inquisitive, Joyful, Quick, Responsive, Intelligent
Skye Terrier;Terrier;Terrier;800;17;4;172;Loyal, Fearless, Friendly, Good-tempered, Intelligent
Sloughi;Hound;Sight;900;28;5;188;Alert, Faithful, Intelligent, Sensitive, Independent, Playful, Sweet
Smooth Fox Terrier;Terrier;Terrier;850;8;3;122;Active, Affectionate, Alert, Fearless, Intelligent, Playful
South Russian Ovtcharka;Herding;Herding;900;49;4;;Active, Balanced, Courageous, Lively, Nervous
Spaniel;Sporting;Gun;700;10;3;29;Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting
Spitz;Non Sporting;Northern;700;8;4;118;Alert, Energetic, Friendly, Independent, Intelligent, Protective
Staffordshire Bull Terrier;Terrier;Terrier;1750;14;3;82;Affectionate, Bold, Courageous, Fearless, Intelligent, Reliable
Sussex Spaniel;Sporting;Gun;2500;19;3;161;Calm, Cheerful, Companionable, Devoted, Friendly, Sociable
Swedish Vallhund;Herding;Herding;800;13;4;149;Alert, Energetic, Fearless, Friendly, Watchful
Terrier;Terrier;Terrier;1050;8;3;42;Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent
Thai Ridgeback;Hound;Sight;700;28;2;;Familial, Independent, Loving, Loyal, Protective
Tibetan Mastiff;Working;Guardian;3000;71;6;153;Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal
Tibetan Spaniel;Non Sporting;Companion;900;6;4;121;Intelligent, Assertive, Aloof, Happy, Independent, Willful
Tibetan Terrier;Non Sporting;Companion;1600;10;3;101;Affectionate, Amiable, Energetic, Gentle, Reserved, Sensitive, Intelligent
Tosa Inu;Working;Guardian;700;65;6;;Aggressive, Brave, Fearless, Intelligent, Sensitive, Suspicious
Toy Fox Terrier;Toy;Terrier;500;2;2;112;Alert, Friendly, Intelligent, Loyal, Playful, Spirited
Treeing Walker Coonhound;Hound;Scenthound;500;28;3;131;Affectionate, Clever, Confident, Loving, Trainable
Vizsla;Sporting;Gun;1000;21;3;30;Affectionate, Cheerful, Energetic, Gentle, Intelligent, Playful, Protective, Quiet
Weimaraner;Sporting;Gun;1750;29;3;34;Alert, Aloof, Energetic, Fast, Intelligent, Powerful, Steady, Stubborn, Social
Welsh Corgi;Herding;Herding;1100;13;4;68;Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent
Cardigan;Herding;Herding;1100;16;4;68;Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent
Pembroke;Herding;Herding;1100;12;4;68;Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent
Welsh Springer Spaniel;Sporting;Gun;1300;18;4;133;Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent
Welsh Terrier;Terrier;Terrier;1000;9;3;109;Alert, Friendly, Intelligent, Spirited, Independent, Loving
West Highland White Terrier Westie;Terrier;Terrier;1050;8;3;42;Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent
Wheaten Terrier;Terrier;Terrier;900;18;4;49;Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited
Whippet;Hound;Sight;1000;16;3;61;Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet
White German Shepherd;Herding;Herding;1400;35;6;2;Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful
Wire Fox Terrier;Terrier;Terrier;900;7;3;99;Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent
Wire-haired Pointing Griffon;Sporting;Gun;700;25;5;65;Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent
Wirehaired Terrier;Terrier;Terrier;900;7;3;99;Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent
Xoloitzcuintle/Mexican Hairless;Non Sporting;Sight;700;11;3;143;Aleret, Calm, Cheerful, Companionable, Loyal, Protective
