BreedName;Trait
Australian Cattle Dog/Blue Heeler;Responsive
Australian Kelpie;Alert
Australian Kelpie;Eager
Australian Kelpie;Energetic
Australian Kelpie;Friendly
Australian Kelpie;Intelligent
Australian Kelpie;Loyal
Australian Kelpie;Robust
Australian Shepherd;Active
Australian Shepherd;Affectionate
Australian Shepherd;Friendly
Australian Shepherd;Good-natured
Australian Shepherd;Intelligent
Australian Shepherd;Protective
Australian Shepherd;Loving
Australian Terrier;Alert
Australian Terrier;Compassionate
Australian Terrier;Courageous
Australian Terrier;Even Tempered
Australian Terrier;Loyal
Australian Terrier;Spirited
Australian Terrier;Intelligent
Basenji;Affectionate
Basenji;Alert
Basenji;Curious
Basenji;Energetic
Basenji;Playful
Basenji;Intelligent
Basset Hound;Affectionate
Basset Hound;Devoted
Basset Hound;Friendly
Basset Hound;Gentle
Basset Hound;Sweet-tempered
Basset Hound;Tenacious
Beagle;Friendly
Beagle;Gentle
Beagle;Independent
Beagle;Intelligent
Beagle;Lively
Beagle;Loving
Beagle;Sweet
Bearded Collie;Active
Bearded Collie;Alert
Bearded Collie;Hardy
Bearded Collie;Intelligent
Bearded Collie;Lively
Bearded Collie;Self-confident
Beauceron;Courageous
Beauceron;Obedient
Beauceron;Loyal
Beauceron;Protective
Beauceron;Loving
Bedlington Terrier;Affectionate
Bedlington Terrier;Devoted
Bedlington Terrier;Energetic
Bedlington Terrier;Loyal
Bedlington Terrier;Playful
Bedlington Terrier;Reliable
Bedlington Terrier;Intelligent
Belgian Shepherd Dog Sheepdog;Active
Belgian Shepherd Dog Sheepdog;Alert
Belgian Shepherd Dog Sheepdog;Confident
Belgian Shepherd Dog Sheepdog;Friendly
Belgian Shepherd Dog Sheepdog;Hard-working
Belgian Shepherd Dog Sheepdog;Protective
Belgian Shepherd Dog Sheepdog;Stubborn
Belgian Shepherd Dog Sheepdog;Watchful
Belgian Shepherd Dog Sheepdog;Intelligent
Belgian Shepherd Laekenois;Active
Belgian Shepherd Laekenois;Alert
Belgian Shepherd Laekenois;Energetic
Belgian Shepherd Laekenois;Lively
Belgian Shepherd Laekenois;Protective
Belgian Shepherd Laekenois;Watchful
Belgian Shepherd Malinois;Active
Belgian Shepherd Malinois;Alert
Belgian Shepherd Malinois;Confident
Belgian Shepherd Malinois;Friendly
Belgian Shepherd Malinois;Hard-working
Belgian Shepherd Malinois;Protective
Belgian Shepherd Malinois;Stubborn
Belgian Shepherd Malinois;Watchful
Belgian Shepherd Tervuren;Alert
Belgian Shepherd Tervuren;Attentive
Belgian Shepherd Tervuren;Energetic
Belgian Shepherd Tervuren;Intelligent
Belgian Shepherd Tervuren;Loyal
Belgian Shepherd Tervuren;Protective
Bernese Mountain Dog;Affectionate
Bernese Mountain Dog;Faithful
Bernese Mountain Dog;Intelligent
Bernese Mountain Dog;Loyal
Bichon Frise;Affectionate
Bichon Frise;Cheerful
Bichon Frise;Feisty
Bichon Frise;Gentle
Bichon Frise;Playful
Bichon Frise;Intelligent
Bichon Frise;Sensitive
Black and Tan Coonhound;Adaptable
Black and Tan Coonhound;Easygoing
Black and Tan Coonhound;Even-tempered
Black and Tan Coonhound;Gentle
Black and Tan Coonhound;Lovable
Black and Tan Coonhound;Trusting
Black and Tan Coonhound;Intelligent
Black Labrador Retriever;Affectionate
Black Labrador Retriever;Alert
Black Labrador Retriever;Cheerful
Black Labrador Retriever;Energetic
Black Labrador Retriever;Friendly
Black Labrador Retriever;Gentle
Black Labrador Retriever;Intelligent
Black Labrador Retriever;Loving
Black Labrador Retriever;Loyal
Black Labrador Retriever;Outgoing
Black Labrador Retriever;Playful
Black Labrador Retriever;Responsive
Black Labrador Retriever;Social
Black Mouth Cur;Active
Black Mouth Cur;Fearless
Black Mouth Cur;Kind
Black Mouth Cur;Loyal
Black Mouth Cur;Protective
Black Mouth Cur;Trainable
Black Russian Terrier;Brave
Black Russian Terrier;Confident
Black Russian Terrier;Energetic
Black Russian Terrier;Hardy
Black Russian Terrier;Lively
Black Russian Terrier;Stable
Bloodhound;Affectionate
Bloodhound;Even-tempered
Bloodhound;Gentle
Bloodhound;Stubborn
Bloodhound;Independent
Blue Lacy;Active
Blue Lacy;Alert
Blue Lacy;Bold
Blue Lacy;Devoted
Blue Lacy;Intelligent
Blue Lacy;Intense
Bluetick Coonhound;Friendly
Bluetick Coonhound;Active
Bluetick Coonhound;Gentle
Boerboel;Confident
Boerboel;Dominant
Boerboel;Intelligent
Boerboel;Obedient
Boerboel;Territorial
Bolognese;Docile
Bolognese;Enterprising
Bolognese;Loyal
Bolognese;Reserved
Bolognese;Serious
Border Collie;Intelligent
Border Collie;Energetic
Border Collie;Alert
Border Collie;Responsive
Border Collie;Tenacious
Border Collie;Loyal
Border Collie;Protective
Border Terrier;Affectionate
Border Terrier;Alert
Border Terrier;Even-tempered
Border Terrier;Fearless
Border Terrier;Intelligent
Border Terrier;Obedient
Borzoi;Athletic
Borzoi;Gentle
Borzoi;Independent
Borzoi;Intelligent
Borzoi;Quiet
Borzoi;Respectful
Boston Terrier;Affectionate
Boston Terrier;Aggressive
Boston Terrier;Friendly
Boston Terrier;Gentle
Boston Terrier;Intelligent
Boston Terrier;Lively
Boston Terrier;Playful
Bouvier des Flanders;Familial
Bouvier des Flanders;Gentle
Bouvier des Flanders;Intelligent
Bouvier des Flanders;Loyal
Bouvier des Flanders;Protective
Bouvier des Flanders;Rational
Boxer;Brave
Boxer;Bright
Boxer;Confident
Boxer;Energetic
Boxer;Fearless
Boxer;Friendly
Boxer;Intelligent
Boxer;Loyal
Boxer;Playful
Boykin Spaniel;Companionable
Boykin Spaniel;Eager
Boykin Spaniel;Energetic
Boykin Spaniel;Friendly
Boykin Spaniel;Intelligent
Boykin Spaniel;Trainable
Briard;Faithful
Briard;Fearless
Briard;Intelligent
Briard;Loyal
Briard;Obedient
Briard;Protective
Brittany Spaniel;Alert
Brittany Spaniel;Independent
Brittany Spaniel;Intelligent
Brittany Spaniel;Responsive
Brittany Spaniel;Social
Brussels Griffon;Alert
Brussels Griffon;Companionable
Brussels Griffon;Inquisitive
Brussels Griffon;Self-important
Brussels Griffon;Sensitive
Brussels Griffon;Watchful
Bull Terrier;Active
Bull Terrier;Keen
Bull Terrier;Protective
Bull Terrier;Sweet-tempered
Bull Terrier;Trainable
Bullmastiff;Alert
Bullmastiff;Calm
Bullmastiff;Courageous
Bullmastiff;Devoted
Bullmastiff;Docile
Bullmastiff;Powerful
Bullmastiff;Loyal
Bullmastiff;Protective
Bullmastiff;Reliable
Cairn Terrier;Active
Cairn Terrier;Assertive
Cairn Terrier;Courageous
Cairn Terrier;Fearless
Cairn Terrier;Hardy
Cairn Terrier;Intelligent
Canaan Dog;Alert
Canaan Dog;Cautious
Canaan Dog;Devoted
Canaan Dog;Quick
Canaan Dog;Vigilant
Cane Corso Mastiff;Cheerful
Cane Corso Mastiff;Courageous
Cane Corso Mastiff;Loyal
Cane Corso Mastiff;Quiet
Cane Corso Mastiff;Social
Carolina Dog;Adaptable
Carolina Dog;Gentle
Carolina Dog;Loyal
Carolina Dog;Primitive
Carolina Dog;Reserved
Catahoula Leopard Dog;Alert
Catahoula Leopard Dog;Courageous
Catahoula Leopard Dog;Energetic
Catahoula Leopard Dog;Gentle
Catahoula Leopard Dog;Independent
Catahoula Leopard Dog;Intelligent
Catahoula Leopard Dog;Loving
Catahoula Leopard Dog;Loyal
Catahoula Leopard Dog;Protective
Cattle Dog;Aggressive
Cattle Dog;Alert
Cattle Dog;Energetic
Cattle Dog;Intelligent
Cattle Dog;Loyal
Cattle Dog;Protective
Cattle Dog;Responsive
Caucasian Sheepdog (Caucasian Ovtcharka);Alert
Caucasian Sheepdog (Caucasian Ovtcharka);Calm
Caucasian Sheepdog (Caucasian Ovtcharka);Dominant
Caucasian Sheepdog (Caucasian Ovtcharka);Powerful
Caucasian Sheepdog (Caucasian Ovtcharka);Quick
Caucasian Sheepdog (Caucasian Ovtcharka);Strong
Cavalier King Charles Spaniel;Affectionate
Cavalier King Charles Spaniel;Cheerful
Cavalier King Charles Spaniel;Courageous
Cavalier King Charles Spaniel;Gentle
Cavalier King Charles Spaniel;Intelligent
Cavalier King Charles Spaniel;Social
Chesapeake Bay Retriever;Happy
Chesapeake Bay Retriever;Affectionate
Chesapeake Bay Retriever;Dominant
Chesapeake Bay Retriever;Intelligent
Chesapeake Bay Retriever;Protective
Chesapeake Bay Retriever;Quiet
Chihuahua;Alert
Chihuahua;Courageous
Chihuahua;Devoted
Chihuahua;Lively
Chihuahua;Intelligent
Chihuahua;Quick
Chinese Crested Dog;Affectionate
Chinese Crested Dog;Alert
Chinese Crested Dog;Happy
Chinese Crested Dog;Lively
Chinese Crested Dog;Playful
Chinese Crested Dog;Sweet-tempered
Chinese Foo Dog;Friendly
Chinese Foo Dog;Devoted
Chinese Foo Dog;Courageous
Chinook;Alert
Chinook;Calm
Chinook;Dignified
Chinook;Friendly
Chinook;Responsive
Chocolate Labrador Retriever;Affectionate
Chocolate Labrador Retriever;Alert
Chocolate Labrador Retriever;Cheerful
Chocolate Labrador Retriever;Energetic
Chocolate Labrador Retriever;Friendly
Chocolate Labrador Retriever;Gentle
Chocolate Labrador Retriever;Intelligent
Chocolate Labrador Retriever;Loving
Chocolate Labrador Retriever;Loyal
Chocolate Labrador Retriever;Outgoing
Chocolate Labrador Retriever;Playful
Chocolate Labrador Retriever;Responsive
Chocolate Labrador Retriever;Social
Chow Chow;Aloof
Chow Chow;Independent
Chow Chow;Loyal
Chow Chow;Quiet
Chow Chow;Intelligent
Chow Chow;Protective
Chow Chow;Detached
Cirneco dell'Etna;Affectionate
Cirneco dell'Etna;Gentle
Cirneco dell'Etna;Lively
Clumber Spaniel;Gentle
Clumber Spaniel;Loyal
Clumber Spaniel;Affectionate
Clumber Spaniel;Dignified
Clumber Spaniel;Aloof
Cockapoo;Affectionate
Cockapoo;Alert
Cockapoo;Cheerful
Cockapoo;Friendly
Cockapoo;Intelligent
Cockapoo;Loving
Cockapoo;Loyal
Cockapoo;Outgoing
Cockapoo;Playful
Cockapoo;Responsive
Cockapoo;Social
Cocker Spaniel;Even Tempered
Cocker Spaniel;Joyful
Cocker Spaniel;Merry
Cocker Spaniel;Outgoing
Cocker Spaniel;Intelligent
Cocker Spaniel;Sociable
Cocker Spaniel;Trusting
Collie;Friendly
Collie;Gentle
Collie;Intelligent
Collie;Loyal
Collie;Protective
Collie;Responsive
Collie;Social
Coonhound;Adaptable
Coonhound;Easygoing
Coonhound;Even-tempered
Coonhound;Gentle
Coonhound;Lovable
Coonhound;Trusting
Coonhound;Intelligent
Corgi;Active
Corgi;Affectionate
Corgi;Alert
Corgi;Companionable
Corgi;Devoted
Corgi;Gentle
Corgi;Intelligent
Coton de Tulear;Affectionate
Coton de Tulear;Intelligent
Coton de Tulear;Lively
Coton de Tulear;Playful
Coton de Tulear;Trainable
Coton de Tulear;Vocal
Curly-Coated Retriever;Clever
Curly-Coated Retriever;Independent
Curly-Coated Retriever;Intelligent
Curly-Coated Retriever;Lively
Curly-Coated Retriever;Sensitive
Curly-Coated Retriever;Trainable
Dachshund;Clever
Dachshund;Courageous
Dachshund;Devoted
Dachshund;Lively
Dachshund;Playful
Dachshund;Stubborn
Dalmatian;Active
Dalmatian;Energetic
Dalmatian;Friendly
Dalmatian;Intelligent
Dalmatian;Outgoing
Dalmatian;Playful
Dalmatian;Sensitive
Dandi Dinmont Terrier;Affectionate
Dandi Dinmont Terrier;Companionable
Dandi Dinmont Terrier;Determined
Dandi Dinmont Terrier;Fun-loving
Dandi Dinmont Terrier;Independent
Dandi Dinmont Terrier;Lively
Dandi Dinmont Terrier;Intelligent
Dhole;Wild
Dingo;Wild
Doberman Pinscher;Alert
Doberman Pinscher;Energetic
Doberman Pinscher;Fearless
Doberman Pinscher;Intelligent
Doberman Pinscher;Loyal
Doberman Pinscher;Obedient
Dogo Argentino;Affectionate
Dogo Argentino;Cheerful
Dogo Argentino;Friendly
Dogo Argentino;Loyal
Dogo Argentino;Protective
Dogo Argentino;Tolerant
Dogo Argentino;Social
Dogue de Bordeaux;Companionable
Dogue de Bordeaux;Courageous
Dogue de Bordeaux;Devoted
Dogue de Bordeaux;Even-tempered
Dogue de Bordeaux;Loyal
Dogue de Bordeaux;Vigiliant
Dutch Shepherd;Affectionate
Dutch Shepherd;Alert
Dutch Shepherd;Loyal
Dutch Shepherd;Obedient
Dutch Shepherd;Reliable
Dutch Shepherd;Trainable
English Bulldog;Aggressive
English Bulldog;Courageous
English Bulldog;Friendly
English Bulldog;Loving
English Bulldog;Social
English Bulldog;Sweet
English Cocker Spaniel;Affectionate
English Cocker Spaniel;Faithful
English Cocker Spaniel;Friendly
English Cocker Spaniel;Intelligent
English Cocker Spaniel;Playful
English Cocker Spaniel;Quiet
English Cocker Spaniel;Trainable
English Coonhound;Active
English Coonhound;Energetic
English Coonhound;High-strung
English Coonhound;Loyal
English Pointer;Active
English Pointer;Affectionate
English Pointer;Amiable
English Pointer;Even-tempered
English Pointer;Kind
English Pointer;Loyal
English Pointer;Intelligent
English Setter;Strong-willed
English Setter;Mischevious
English Setter;Gentle
English Setter;Energetic
English Setter;Intelligent
English Shepherd;Adaptable
English Shepherd;Alert
English Shepherd;Courageous
English Shepherd;Energetic
English Shepherd;Friendly
English Shepherd;Independent
English Shepherd;Intelligent
English Shepherd;Playful
English Shepherd;Responsibe
English Springer Spaniel;Affectionate
English Springer Spaniel;Alert
English Springer Spaniel;Cheerful
English Springer Spaniel;Energetic
English Springer Spaniel;Intelligent
English Springer Spaniel;Playful
English Springer Spaniel;Social
English Toy Spaniel;Affectionate
English Toy Spaniel;Gentle
English Toy Spaniel;Happy
English Toy Spaniel;Loving
English Toy Spaniel;Playful
English Toy Spaniel;Reserved
Entlebucher;Agile
Entlebucher;Devoted
Entlebucher;Independent
Entlebucher;Loyal
Entlebucher;Self-confident
Eskimo Dog;Alert
Eskimo Dog;Energetic
Eskimo Dog;Friendly
Eskimo Dog;Independent
Eskimo Dog;Intelligent
Eskimo Dog;Protective
Feist;Agile
Feist;Alert
Feist;Lovable
Feist;Spirited
Feist;Swift
Field Spaniel;Adaptable
Field Spaniel;Cautious
Field Spaniel;Docile
Field Spaniel;Familial
Field Spaniel;Sensitive
Field Spaniel;Sociable
Fila Brasileiro;Brave
Fila Brasileiro;Courageous
Fila Brasileiro;Determined
Fila Brasileiro;Docile
Fila Brasileiro;Loyal
Fila Brasileiro;Obedient
Finnish Lapphund;Calm
Finnish Lapphund;Courageous
Finnish Lapphund;Faithful
Finnish Lapphund;Friendly
Finnish Lapphund;Keen
Finnish Spitz;Happy
Finnish Spitz;Independent
Finnish Spitz;Intelligent
Finnish Spitz;Loyal
Finnish Spitz;Playful
Finnish Spitz;Vocal
Flat-coated Retriever;Friendly
Flat-coated Retriever;Confident
Flat-coated Retriever;Devoted
Flat-coated Retriever;Optimistic
Flat-coated Retriever;Outgoing
Flat-coated Retriever;Intelligent
Fox Terrier;Active
Fox Terrier;Affectionate
Fox Terrier;Alert
Fox Terrier;Fearless
Fox Terrier;Intelligent
Fox Terrier;Playful
Foxhound;Independent
Foxhound;Intelligent
Foxhound;Kind
Foxhound;Loving
Foxhound;Loyal
Foxhound;Sweet-tempered
French Bulldog;Affectionate
French Bulldog;Playful
French Bulldog;Alert
French Bulldog;Athletic
French Bulldog;Bright
French Bulldog;Easygoing
French Bulldog;Keen
French Bulldog;Lively
French Bulldog;Patient
Galgo Spanish Greyhound;Affectionate
Galgo Spanish Greyhound;Calm
Galgo Spanish Greyhound;Quiet
Galgo Spanish Greyhound;Gentle
German Pinscher;Even-tempered
German Pinscher;Familial
German Pinscher;Courageous
German Pinscher;Lively
German Pinscher;Loving
German Pinscher;Spirited
German Shepherd Dog;Alert
German Shepherd Dog;Confident
German Shepherd Dog;Courageous
German Shepherd Dog;Curious
German Shepherd Dog;Intelligent
German Shepherd Dog;Loyal
German Shepherd Dog;Obedient
German Shepherd Dog;Watchful
German Shorthaired Pointer;Affectionate
German Shorthaired Pointer;Boisterous
German Shorthaired Pointer;Bold
German Shorthaired Pointer;Cooperative
German Shorthaired Pointer;Intelligent
German Shorthaired Pointer;Trainable
German Spitz;Alert
German Spitz;Energetic
German Spitz;Friendly
German Spitz;Independent
German Spitz;Intelligent
German Spitz;Protective
German Wirehaired Pointer;Active
German Wirehaired Pointer;Affectionate
German Wirehaired Pointer;Friendly
German Wirehaired Pointer;Intelligent
German Wirehaired Pointer;Loyal
German Wirehaired Pointer;Willful
German Wirehaired Pointer;Responsive
Giant Schnauzer;Dominant
Giant Schnauzer;Intelligent
Giant Schnauzer;Kind
Giant Schnauzer;Loyal
Giant Schnauzer;Powerful
Giant Schnauzer;Strong-willed
Glen of Imaal Terrier;Active
Glen of Imaal Terrier;Agile
Glen of Imaal Terrier;Courageous
Glen of Imaal Terrier;Gentle
Glen of Imaal Terrier;Loyal
Glen of Imaal Terrier;Spirited
Golden Retriever;Confident
Golden Retriever;Friendly
Golden Retriever;Intelligent
Golden Retriever;Kind
Golden Retriever;Reliable
Golden Retriever;Trustworthy
Gordon Setter;Alert
Gordon Setter;Confident
Gordon Setter;Eager
Gordon Setter;Fearless
Gordon Setter;Loyal
Gordon Setter;Intelligent
Great Dane;Friendly
Great Dane;Confident
Great Dane;Devoted
Great Dane;Intelligent
Great Dane;Gentle
Great Dane;Loving
Great Dane;Reserved
Great Pyrenees;Affectionate
Great Pyrenees;Confident
Great Pyrenees;Fearless
Great Pyrenees;Gentle
Great Pyrenees;Patient
Great Pyrenees;Strong-willed
Greater Swiss Mountain Dog;Alert
Greater Swiss Mountain Dog;Devoted
Greater Swiss Mountain Dog;Fearless
Greater Swiss Mountain Dog;Good-natured
Greater Swiss Mountain Dog;Protective
Greater Swiss Mountain Dog;Self-confident
Greyhound;Intelligent
Greyhound;Gentle
Greyhound;Affectionate
Greyhound;Athletic
Greyhound;Even-tempered
Greyhound;Quiet
Harrier;Active
Harrier;Cheerful
Harrier;Friendly
Harrier;Outgoing
Harrier;Sweet-tempered
Harrier;Tolerant
Havanese;Affectionate
Havanese;Companionable
Havanese;Gentle
Havanese;Intelligent
Havanese;Playful
Havanese;Responsive
Hound;Independent
Hound;Intelligent
Hound;Kind
Hound;Loving
Hound;Loyal
Hound;Sweet-tempered
Hovawart;Watchful
Hovawart;Even-tempered
Hovawart;Reserved
Hovawart;Active
Hovawart;Devoted
Husky;Alert
Husky;Friendly
Husky;Gentle
Husky;Intelligent
Husky;Outgoing
Ibizan Hound;Active
Ibizan Hound;Clownish
Ibizan Hound;Engaging
Ibizan Hound;Independent
Ibizan Hound;Intelligent
Ibizan Hound;Stubborn
Illyrian Sheepdog;Independent
Illyrian Sheepdog;Reliable
Illyrian Sheepdog;Devoted
Illyrian Sheepdog;Protective
Irish Setter;Affectionate
Irish Setter;Companionable
Irish Setter;Energetic
Irish Setter;Independent
Irish Setter;Lively
Irish Setter;Playful
Irish Setter;Intelligent
Irish Terrier;Dominant
Irish Terrier;Intelligent
Irish Terrier;Lively
Irish Terrier;Protective
Irish Terrier;Respectful
Irish Terrier;Trainable
Irish Water Spaniel;Active
Irish Water Spaniel;Alert
Irish Water Spaniel;Clownish
Irish Water Spaniel;Inquisitive
Irish Water Spaniel;Intelligent
Irish Water Spaniel;Quick
Irish Wolfhound;Dignified
Irish Wolfhound;Generous
Irish Wolfhound;Loyal
Irish Wolfhound;Patient
Irish Wolfhound;Sweet-tempered
Irish Wolfhound;Thoughtful
Irish Wolfhound;Intelligent
Italian Greyhound;Affectionate
Italian Greyhound;Agile
Italian Greyhound;Athletic
Italian Greyhound;Companionable
Italian Greyhound;Intelligent
Italian Greyhound;Mischevious
Italian Spinone;Friendly
Italian Spinone;Loyal
Italian Spinone;Affectionate
Italian Spinone;Docile
Italian Spinone;Gentle
Italian Spinone;Patient
Jack Russell Terrier;Alert
Jack Russell Terrier;Cheerful
Jack Russell Terrier;Courageous
Jack Russell Terrier;Energetic
Jack Russell Terrier;Independent
Jack Russell Terrier (Parson Russell Terrier);Energetic
Jack Russell Terrier (Parson Russell Terrier);Bold
Jack Russell Terrier (Parson Russell Terrier);Eager
Jack Russell Terrier (Parson Russell Terrier);Happy
Jack Russell Terrier (Parson Russell Terrier);Intelligent
Jack Russell Terrier (Parson Russell Terrier);Obedient
Japanese Chin;Alert
Japanese Chin;Cat-like
Japanese Chin;Independent
Japanese Chin;Intelligent
Japanese Chin;Loving
Japanese Chin;Loyal
Japanese Chin;Playful
Jindo;Active
Jindo;Bold
Jindo;Brave
Jindo;Faithful
Jindo;Intelligent
Jindo;Loyal
Kai Dog;Intelligent
Kai Dog;Agile
Kai Dog;Alert
Kai Dog;Brave
Karelian Bear Dog;Brave
Karelian Bear Dog;Cautious
Karelian Bear Dog;Loyal
Karelian Bear Dog;Independent
Karelian Bear Dog;Tenacious
Karelian Bear Dog;Territorial
Keeshond;Agile
Keeshond;Bright
Keeshond;Obedient
Keeshond;Playful
Keeshond;Quick
Keeshond;Sturdy
Keeshond;Intelligent
Kerry Blue Terrier;Affectionate
Kerry Blue Terrier;Alert
Kerry Blue Terrier;Gentle
Kerry Blue Terrier;Loyal
Kerry Blue Terrier;Spirited
Kerry Blue Terrier;Strong-willed
Kerry Blue Terrier;Intelligent
Kishu;Alert
Kishu;Dignified
Kishu;Docile
Kishu;Faithful
Kishu;Noble
Klee Kai;Active
Klee Kai;Agile
Klee Kai;Curious
Klee Kai;Intelligent
Klee Kai;Loyal
Klee Kai;Quick
Klee Kai;Territorial
Komondor;Affectionate
Komondor;Calm
Komondor;Fearless
Komondor;Gentle
Komondor;Independent
Komondor;Steady
Kuvasz;Clownish
Kuvasz;Independent
Kuvasz;Intelligent
Kuvasz;Loyal
Kuvasz;Patient
Kuvasz;Protective
Kyi Leo;Active
Kyi Leo;Calm
Kyi Leo;Forgiving
Kyi Leo;Obedient
Kyi Leo;Playful
Kyi Leo;Quiet
Labrador Retriever;Affectionate
Labrador Retriever;Alert
Labrador Retriever;Cheerful
Labrador Retriever;Energetic
Labrador Retriever;Friendly
Labrador Retriever;Gentle
Labrador Retriever;Intelligent
Labrador Retriever;Loving
Labrador Retriever;Loyal
Labrador Retriever;Outgoing
Labrador Retriever;Playful
Labrador Retriever;Responsive
Labrador Retriever;Social
Lakeland Terrier;Independent
Lakeland Terrier;Bold
Lakeland Terrier;Confident
Lakeland Terrier;Friendly
Lakeland Terrier;Intelligent
Lakeland Terrier;Trainable
Lancashire Heeler;Alert
Lancashire Heeler;Clever
Lancashire Heeler;Friendly
Lancashire Heeler;Intelligent
Leonberger;Adaptable
Leonberger;Companionable
Leonberger;Fearless
Leonberger;Loving
Leonberger;Loyal
Leonberger;Obedient
Lhasa Apso;Alert
Lhasa Apso;Assertive
Lhasa Apso;Devoted
Lhasa Apso;Friendly
Lhasa Apso;Intelligent
Lhasa Apso;Lively
Lhasa Apso;Obedient
Lhasa Apso;Playful
Lhasa Apso;Spirited
Lhasa Apso;Steady
Lowchen;Active
Lowchen;Familial
Lowchen;Friendly
Lowchen;Happy
Lowchen;Playful
Maltese;Active
Maltese;Docile
Maltese;Easygoing
Maltese;Gentle
Maltese;Intelligent
Maltese;Playful
Maltese;Responsive
Maltese;Sweet-tempered
Manchester Terrier;Active
Manchester Terrier;Alert
Manchester Terrier;Devoted
Manchester Terrier;Discerning
Manchester Terrier;Quiet
Manchester Terrier;Loyal
Manchester Terrier;Intelligent
Maremma Sheepdog;Alert
Maremma Sheepdog;Determined
Maremma Sheepdog;Dignified
Maremma Sheepdog;Friendly
Maremma Sheepdog;Intelligent
Maremma Sheepdog;Loyal
Mastiff;Affectionate
Mastiff;Alert
Mastiff;Cheerful
Mastiff;Courageous
Mastiff;Intelligent
Mastiff;Loyal
Mastiff;Protective
McNab;Friendly
McNab;Hard-working
McNab;Obedient
McNab;Protective
McNab;Sociable
McNab;Well-mannered
Miniature Pinscher;Clever
Miniature Pinscher;Energetic
Miniature Pinscher;Friendly
Miniature Pinscher;Outgoing
Miniature Pinscher;Playful
Miniature Pinscher;Responsive
Miniature Pinscher;Intelligent
Mountain Cur;Intelligent
Mountain Cur;Protective
Mountain Dog;Affectionate
Mountain Dog;Faithful
Mountain Dog;Intelligent
Mountain Dog;Loyal
Munsterlander;Intelligent
Munsterlander;Trainable
Munsterlander;Attentive
Munsterlander;Mischevious
Neapolitan Mastiff;Protective
Neapolitan Mastiff;Dominant
Neapolitan Mastiff;Fearless
Neapolitan Mastiff;Obedient
Neapolitan Mastiff;Stubborn
Neapolitan Mastiff;Trainable
New Guinea Singing Dog;Active
New Guinea Singing Dog;Affectionate
New Guinea Singing Dog;Alert
New Guinea Singing Dog;Gentle
New Guinea Singing Dog;Lively
Newfoundland Dog;Cheerful
Newfoundland Dog;Courageous
Newfoundland Dog;Intelligent
Newfoundland Dog;Loyal
Newfoundland Dog;Social
Newfoundland Dog;Sweet
Newfoundland Dog;Gentle
Norfolk Terrier;Companionable
Norfolk Terrier;Fearless
Norfolk Terrier;Happy
Norfolk Terrier;Lovable
Norfolk Terrier;Self-confident
Norfolk Terrier;Spirited
Norfolk Terrier;Intelligent
Norwegian Buhund;Agile
Norwegian Buhund;Courageous
Norwegian Buhund;Energetic
